accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.8718,0.0,0.8718,0.0,cifar10,0.20259722889803766,2546,199,0.7974027711019623,0.2026641031535391,0.8716725543594016,entropy,0,0.8718,0.8718,0.2,0,"[0.36, 0.64]",5000,55,source,-0.0022074341455410804,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.19910625483270994,2571,261,0.8008937451672901,0.19917377693256144,0.8719012337456494,entropy,0,0.8716,0.8715999999999999,0.2,0,"[0.3538, 0.6462]",5000,56,source,-0.0022074341455410804,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.21363321142713843,2475,213,0.7863667885728616,0.2136980376585651,0.8702221963801193,entropy,0,0.87,0.8700000000000001,0.2,0,"[0.3796, 0.6204000000000001]",5000,57,target,-0.0022074341455410804,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.2161106768928549,2482,245,0.7838893231071451,0.21617504336377502,0.8705465381481405,entropy,0,0.87,0.8700000000000001,0.2,0,"[0.384, 0.616]",5000,58,target,-0.0022074341455410804,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.17410637604229806,2794,245,0.8258936239577019,0.174178537543625,0.8710272687835319,entropy,0,0.8706,0.8705999999999999,0.2,0,"[0.3094, 0.6906]",5000,59,target,-0.0022074341455410804,matched_compute,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.299218382060981,1690,215,0.7007816179390189,0.2992673256567261,0.8704341932434154,entropy,0,0.8698,0.8698,0.3,0,"[0.5316, 0.46840000000000004]",5000,54,source,-0.021409577631064453,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.3050742095254018,1656,199,0.6949257904745982,0.305122066414495,0.8716725543594016,entropy,0,0.8718,0.8718,0.3,0,"[0.542, 0.45799999999999996]",5000,55,source,-0.021409577631064453,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.29572740799565317,1732,261,0.7042725920043469,0.2957769994357484,0.8719012337456494,entropy,0,0.8716,0.8715999999999999,0.3,0,"[0.5254, 0.4746]",5000,56,source,-0.021409577631064453,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.3074390629244948,1664,213,0.6925609370755053,0.3074864809512863,0.8702221963801193,entropy,0,0.87,0.8700000000000001,0.3,0,"[0.5462, 0.4538]",5000,57,target,-0.021409577631064453,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.3058624939917662,1703,245,0.6941375060082338,0.30591020459342544,0.8705465381481405,entropy,0,0.87,0.8700000000000001,0.3,0,"[0.5434, 0.4566]",5000,58,target,-0.021409577631064453,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.2741058912039457,1921,245,0.7258941087960543,0.274159495099371,0.8710272687835319,entropy,0,0.8706,0.8705999999999999,0.3,0,"[0.487, 0.513]",5000,59,target,-0.021409577631064453,matched_compute,0.0
